Name,logobg,Country,City,State,ProductType,ProductType2,ImpactArea,logofile,Contact,Funding,Website,Stage,AwardDate,AwardEndDate,ProjectName,ProductName,Description,Disruption,CostShare,lat,lon,News
EnLiSense,n,United States,Allen,TX,Remote Monitoring,,ENACT,EnLiSense_WATCH.png,PR@enlisense.com,550909,https://enlisense.com/,TRL 4 - Optimization,9/14/18,9/30/21,SWEATSENSER Dx Development,SWEATSENSER Dx,"Real-time, simultaneous testing of multiple biomarkers in passive eccrine sweat. The overall objective of this contract is to advance the development of EnLiSenseÕs Wearable Point-of-Need SWEATSENSER Dx. SWEATSENSER Dx rapidly detects and continuously tracks multiple biomarkers in a multiplexed manner towards tracking wellness to illness and recovery states of users.","DRIVe is partnering with EnLiSense to develop tools to empower individuals with critical information about their health status. This is part of ENACT's goal to disrupt healthcare by bringing diagnostics out of healthcare settings, enabling early information to individuals to take action to protect their health, and the health of those in their community.",236104,33.103516,-96.678363,Enlicense_announcement
Spire Health,n,United States,San Francisco,CA,Remote Monitoring,,ENACT,spire-tracker.jpg,media@spirehealth.com,112182,https://spire.io/pages/spire-health-tag-main,TRL 6 - System Integration and Testing,9/20/18,11/30/19,Spire Health Tags,Health Tag,"The overall objective of this project is to deliver 150 sets (8 tags per set) of Spire Health Tags for use in DRIVe Influenza study and accompanying data. The devices are wear and forget health tracker that invisibly monitors respiration, heart rate, sleep, and other markers.","Most trackers miss certain time periods throughout the day, but these washable Health Tags stick to your clothes letting you monitor your health nearly 24/7.",48078,37.764477,-122.4133,Spire_announcement
InnaMed,n,United States,Philadelphia,PA,Diagnostic,,Sepsis,innamed.png,founders@innamed.com,200000,https://www.innamed.com/,TRL 4 - Optimization,10/28/19,10/28/19,Development of Sepsis Biomarker Detection Assay,Electrochemical Proximity Assay (ECPA),Optimization and Validation of an electrochemical proximity assay to detect a sepsis biomarker.,"InnaMed is using a recently identified sepsis biomarker with the potential to facilitate early, accurate sepsis diagnosis and stratify sepsis severity for individualized treatment. InnaMed is using their novel technology to develop an inexpensive, easy to use, point of care device for use in both hospital and community settings.",85750,39.955805,-75.195345,InnaMed_announcement
Prenosis,n,United States,Chicago,IL,Diagnostic,,Sepsis,prenosis.jpg,info@prenosis.com,749000,http://prenosis.com/,TRL 4 - Optimization,9/27/18,9/28/19,Sepsis Biomarker Assays to Build Prenosis Immunix Software,Immunix,Validation of sepsis biomarker assays with the potential to incorporate into a point of care device,"Prenosis is changing the landscape of sepsis diagnosis. Validation of their unique set of sepsis biomarkers brings us one step closer to a rapid, comprehensive point of care device poised to deliver accurate sepsis prediction, early diagnosis, and informed individualized treatment.",323012,41.831435,-87.627774,Prenosis_announcement
Cytovale,n,United States,San Francisco,CA,Diagnostic,Data Analytics,Sepsis,cytovale_project.jpg,info@Cytovale.com,749000,http://cytovale.com/,TRL 5 - Product Development,11/14/18,10/31/19,SeptiScan Beta Evaluation Study,IntelliSep,Novel microfluidic device to measure biophysical changes in immune cells from blood samples,"Early, accurate diagnosis of sepsis will save lives. Cytovale's IntelliSep system is inexpensive, easy to use, and delivers results in less than 10 minutes.",648200,37.711156,-122.393321,CytoVale_announcement
Biobeat,n,Israel,Petach Tikva,Mehoz HaMerkaz,Data Analytics,,ENACT,biobeat_logo.png,info@bio-beat.com,599000,http://www.biobeat.cloud/,TRL 8 - Pivotal Clinical Studies and Regulatory Approval,12/6/18,12/6/20,Biobeat monitoring device to monitor subjects during the flu season,Biobeat Medical Smart-Monitoring Wrist Monitor,The objective of this project is to provide BARDA with the Biobeat platform/wrist watch monitoring systems and to support an on-going BARDA-DARPA joint clinical study. The use of a wearable device to continuously capture clinical endpoints can lead to better technologies alert users prior to symptom onset.,An FDA-cleared monitoring device that empowers individuals by predicting pathogen exposures prior to symptoms,385800,32.086921,34.852991,Biobeat_announcement
Emory University,n,United States,Atlanta,GA,Data Analytics,,Sepsis,UCSD-Emory-Composer.jpg,jmchris@emory.edu,699376,http://nematilab.info/,TRL 7 - Validation and Scale-up,1/22/19,6/30/21,Multicenter Deployment and Evaluation of COMPOSER on FHIR,"Conformal Multidimensional Prediction of Sepsis Risk
(COMPOSER)","Optimize the COMPOSER platform and undertake a prospective cloud-based implementation study, for a multi-site evaluation and validation.","The ability to predict sepsis before onset would prevent life threatening damage to vital organs and save lives. Emory is developing a machine learning algorithm with a goal to  achieve FDA clearance as software as a medical device to predict sepsis that, once integrated into hospital ICU systems, would allow for earlier intervention by physicians.",348400,33.792453,-84.324053,Emory_announcement
Sepsis Alliance,n,United States,San Diego,CA,Educational Tools,,Sepsis,SA_logo.png,aestrada@sepsis.org,547248,https://www.sepsis.org/,NA,1/29/19,4/30/21,Development of Sepsis Institute,Sepsis Institute,Life-saving sepsis education and training modules across the continuum of care,High-quality training modules specifically for health care providers - including NDMS teams - will raise sepsis awareness among the individuals best placed to positively impact sepsis outcomes,234534,32.729979,-117.164091,Sepsis_announcement
Immunexpress,n,United States,Seattle,WA,Diagnostic,,Sepsis,immunexpress_project.jpg,Maggie.beller@russopartnersllc.com,744739,http://www.immunexpress.com/,TRL 8 - Pivotal Clinical Studies and Regulatory Approval,1/31/19,2/14/21,Near-Patient Sepsis Diagnosis Using SeptiCyte Technology,SeptiCyte PLUS,Development of condensed biomarker panel for diagnosis of sepsis,"The SeptiCyte diagnostic may have the ability to distinguish between sepsis and other inflammatory conditions, giving a definitive sepsis diagnosis hours before clinical signs, saving lives by allowing early treatment.",2458929,47.623226,-122.332105,Immune_announcement
Empatica,n,United States,Cambridge,MA,Data Analytics,,ENACT,blog-pr-cover_covid-1.png,press@empatica.com,251454,https://www.empatica.com/,TRL 4 - Optimization,1/24/19,8/31/20,Presymptomatic Influenza Detection,Embrace2,Use physiological parameters captured by Empatica's smartband to potentially predict illness using enhanced machine learning,The Embrace2 utilizes multiple physiological parameters to rapidly detect patterns that could predict respiratory infections and exposures to pathogens before signs of illness are apparent and alert users and caregivers.,404130,42.362977,-71.083918,Empatica_announcement
